fabric,vrf,displayName,networkId,networkTemplate,networkExtensionTemplate,networkName,secondaryGW3,suppressArp,secondaryGW2,secondaryGW1,loopbackId,enableL3OnBorder,gen_address,isIpDhcpRelay,type,SVI_NETFLOW_MONITOR,enableIR,rtBothAuto,isLayer2Only,ENABLE_NETFLOW,gatewayIpV6Address,tag,flagSet,nveId,secondaryGW4,isIpAndIp6DhcpRelay,vlanId,gatewayIpAddress,vlanName,gen_mask,mtu,intfDescription,mcastGroup,igmpVersion,trmEnabled,VLAN_NETFLOW_MONITOR,dhcpServers
cml-nxos-vxlan,cml-fab_50001,MyNetwork_30001,30001,Default_Network_Universal,Default_Network_Extension_Universal,MyNetwork_30001,,,,,,false,,,Normal,,false,false,false,false,,12345,,1,,,2301,192.168.104.254/24,Net-104,,,,239.1.1.1,,,,
cml-nxos-vxlan,cml-fab-50000,MyNetwork_30000,30000,Default_Network_Universal,Default_Network_Extension_Universal,MyNetwork_30000,,,,,,false,,,Normal,,false,false,false,false,,12345,,1,,,2300,192.168.103.254/24,Net-103,,,,239.1.1.1,,,,
